nums,command,mean,stddev,median,user,system,min,max
10,./main < seq_tmp.txt,0.0021218532355596342,0.001598383648091498,0.0020482028200000013,0.001595416440366974,0.0010196534678899082,0,0.005336592820000001
11,./main < seq_tmp.txt,0.002557314998178052,0.0015963789787359322,0.002949441359999999,0.0020058968944099385,0.0010516551552795033,0,0.0053288973599999985
12,./main < seq_tmp.txt,0.0027034228481516618,0.0017969041738840087,0.0028260147600000004,0.0022040623696682462,0.0010795908530805687,0,0.00782432976
13,./main < seq_tmp.txt,0.0019270968362948974,0.0016150279014691185,0.0014077951000000016,0.0016411005671077496,0.0009075148960302458,0,0.005441530100000001
14,./main < seq_tmp.txt,0.0022164270726172464,0.0016406013077881908,0.0022775202,0.0017199696822995452,0.0010679552496217857,0,0.005576722200000001
15,./main < seq_tmp.txt,0.0025407684381344867,0.0016333190170860323,0.0027180394599999984,0.0019465744034707151,0.0010725890672451184,0,0.006290750459999999
16,./main < seq_tmp.txt,0.00196253531371287,0.0015376824549281065,0.0014609624199999997,0.0017205934405940609,0.000872726138613861,0,0.00550715792
17,./main < seq_tmp.txt,0.0023387957288311697,0.0018357922479084728,0.0022229306400000006,0.002005115389610388,0.0009381414935064935,0,0.008745670640000001
10,./main < seq_tmp.txt,0.00221803310601093,0.0007237547927219207,0.002491096380000001,0.0016976977049180334,0.0011086878142076502,0,0.0033330223800000017
11,./main < seq_tmp.txt,0.002856892093634088,0.0010620649943243745,0.00334028768,0.0022078391979949864,0.0011815674185463667,0,0.0043990046800000005
12,./main < seq_tmp.txt,0.002422867315195529,0.0007483333002878225,0.002705179539999999,0.0021128014525139674,0.0009177835195530736,0,0.0036147470400000005
13,./main < seq_tmp.txt,0.0017303811802307704,0.0009670039212410155,0.0021379980800000017,0.0014824711923076923,0.0008306234999999994,0,0.004936160580000001
14,./main < seq_tmp.txt,0.0020201068327586227,0.0006554662040648537,0.002262816840000002,0.0015209701724137928,0.0011797440229885053,0,0.003139638840000001
15,./main < seq_tmp.txt,0.001591925137936212,0.0011594924225740279,0.0020437126600000013,0.0011180301688555353,0.0011621150093808633,0,0.0031426486600000013
16,./main < seq_tmp.txt,0.0020530934796153815,0.0006788171428208512,0.0023078211199999976,0.0015852639560439555,0.0011191308241758238,0,0.0032678226199999967
17,./main < seq_tmp.txt,0.0016753740062500026,0.0012823010681783005,0.002190765300000001,0.001163472794117647,0.001169316544117647,0,0.0032881403000000016
18,./main < seq_tmp.txt,0.0018872772379726012,0.0007857002658137621,0.0021931684599999987,0.0016076172054794518,0.0009402832328767124,0,0.0031823954599999992
19,./main < seq_tmp.txt,0.0017618515699421957,0.0008536616811561695,0.0021066324,0.0013058289017341034,0.001109250289017341,0,0.0030851153999999995
20,./main < seq_tmp.txt,0.0008087205485436884,0.0010353268302900243,0,0.0008077849514563111,0.000859519514563107,0,0.0029828741999999983
21,./main < seq_tmp.txt,0.0017829036084931484,0.0010621596249277764,0.0016878188399999977,0.0013898006849315059,0.0011319281278538824,0,0.005047029839999998
22,./main < seq_tmp.txt,0.00205661562611111,0.0006226960454377991,0.0022820753399999992,0.0015964168888888885,0.0011642796666666675,0.0010869858399999988,0.003658443839999999
23,./main < seq_tmp.txt,0.0035786866015803847,0.0012593688254822746,0.00399890734,0.0028937909536784745,0.0011306773841961854,0.0003338063399999998,0.005052211340000001
24,./main < seq_tmp.txt,0.0015262911854987825,0.00112974247957023,0.0016035342599999983,0.0013494579075425796,0.0009780220924574207,0,0.013986732259999999
25,./main < seq_tmp.txt,0.0019986277276712342,0.0006414955795780446,0.0022165080400000006,0.0013698635616438372,0.001224027232876712,0.0011104650400000004,0.00460303704
26,./main < seq_tmp.txt,0.004209508135580868,0.0011934712456068556,0.004538900280000001,0.00313054651480638,0.001342199225512529,0,0.0055674422799999995
27,./main < seq_tmp.txt,0.00244660734265403,0.0006537691949199846,0.0027159583000000024,0.0019617165876777243,0.0010405007109004739,0.0014296168000000019,0.006326860800000002
28,./main < seq_tmp.txt,0.004993949310449435,0.0006635076424923955,0.00529066992,0.0037502477528089874,0.0014686578651685392,0.0026659604200000003,0.008693450420000002
29,./main < seq_tmp.txt,0.0029037862893224915,0.0016223459286905052,0.00314055728,0.0021333063956639575,0.0012172094308943102,0,0.00524210528
30,./main < seq_tmp.txt,0.0025432381982608684,0.0011436725019980535,0.00283060844,0.002222339239130434,0.0010400956521739127,0,0.0044549429400000005
31,./main < seq_tmp.txt,0.002077743349473686,0.0006196232541625894,0.00233425426,0.0017092186842105257,0.0010537118947368425,0.0011685192599999996,0.0032019712600000003
32,./main < seq_tmp.txt,0.005189095898918921,0.0007705762950163145,0.005499983280000001,0.003791308054054053,0.001612700864864865,0.0014699977800000001,0.006421900780000002
33,./main < seq_tmp.txt,0.0020067457849322484,0.0006644481603102723,0.0022874657599999985,0.0015975463956639563,0.0010565542005420057,0,0.002971129759999999
34,./main < seq_tmp.txt,0.002933320579136362,0.0010961305094197979,0.0030990888799999994,0.002470978181818182,0.0010437308181818177,0,0.004253793379999999
35,./main < seq_tmp.txt,0.0021668650105882313,0.0006327896928928615,0.002415698259999997,0.0016581576470588249,0.0011108127999999995,0.0012163452599999978,0.005286658259999998
36,./main < seq_tmp.txt,0.0018994302361904803,0.0006212330510668194,0.002163111760000001,0.001526241400560224,0.0010734843697478994,0.0009493517600000006,0.002685612760000001
37,./main < seq_tmp.txt,0.004867624097499999,0.0013603751077191626,0.0053653535,0.0035870909999999962,0.0014586474,0.0009803604999999997,0.0064758375
38,./main < seq_tmp.txt,0.0020092574606027417,0.0010438751229406302,0.0024952980400000015,0.0012426572054794513,0.0013674623561643828,0,0.0033614640400000013
39,./main < seq_tmp.txt,0.0022882966995628417,0.0006357839956984623,0.0023366099400000014,0.0017301597814207645,0.0011003892896174854,0.0005280124400000013,0.0034148794400000017
40,./main < seq_tmp.txt,0.001809607142254196,0.0006553773101363063,0.0015893519599999998,0.0015265275779376517,0.0010386566906474813,0.0009360179599999996,0.0028961049600000005
41,./main < seq_tmp.txt,0.0013673109009451803,0.0011168802992890235,0.0015024647000000018,0.0012142711531190923,0.0009931910018903599,0,0.003129480700000001
42,./main < seq_tmp.txt,0.004685602291538461,0.0007256875255354013,0.0045514325800000005,0.0035180725274725276,0.0014214879670329675,0.00094172858,0.005742876580000001
43,./main < seq_tmp.txt,0.0046424972375,0.0026619371213804617,0.004516791300000001,0.0033461737499999988,0.001388295381944445,0.0008285212999999997,0.06218313330000001
44,./main < seq_tmp.txt,0.004736601221093471,0.001445141156914711,0.00503905308,0.0034812409523809528,0.0013881231393298064,0.0011645060799999997,0.006786213080000001
45,./main < seq_tmp.txt,0.002581655414006622,0.0007037287105213761,0.0028603184400000014,0.0017471841721854301,0.0013604496026490076,0,0.003590181940000001
46,./main < seq_tmp.txt,0.005591700546066355,0.0006052593872632015,0.005847854020000001,0.004139948151658769,0.001649212322274881,0.004538732020000001,0.006545945020000002
47,./main < seq_tmp.txt,0.00285690135502976,0.0016009755775515412,0.00334861624,0.0019494661904761912,0.0013301297916666656,0,0.00549481874
48,./main < seq_tmp.txt,0.003134541240784316,0.0006211398224679857,0.0033786432799999995,0.0022299145098039217,0.0014446949019607835,0.0021846422800000003,0.005659551280000001
49,./main < seq_tmp.txt,0.0034413143480362535,0.001382701828469164,0.0039299307,0.0026728092145015094,0.0011894540785498497,0.00032939119999999926,0.005157595199999999
50,./main < seq_tmp.txt,0.005647501120963856,0.0006841371787886969,0.005952017680000001,0.004390976289156625,0.001463612530120483,0.0027589966800000013,0.009585838680000002
51,./main < seq_tmp.txt,0.0035902796334759384,0.0007671375143387468,0.0038695590800000004,0.0027159513368983936,0.0012532193048128341,0.0005320335799999997,0.00479428158
52,./main < seq_tmp.txt,0.0015215289590027681,0.0011287853852077435,0.001945806599999998,0.0011706515235457063,0.0010249101385041556,0,0.0029688395999999976
53,./main < seq_tmp.txt,0.00240362984856152,0.0007153139203818281,0.002660237939999998,0.001819217538994801,0.0011372740381282497,0,0.007230492939999999
54,./main < seq_tmp.txt,0.002041759322179837,0.0006055395957141899,0.0022554687200000015,0.0016625237057220708,0.0010954152588555858,0.0009498007200000004,0.00416333572
55,./main < seq_tmp.txt,0.004027437014175827,0.0011464600631543478,0.00401561944,0.002917472967032968,0.001424879120879121,0.00062074994,0.005697055940000001
56,./main < seq_tmp.txt,0.0013056531849035804,0.0012000257159658283,0.001822433239999999,0.001030023911845729,0.0010224179614325075,0,0.00605546624
57,./main < seq_tmp.txt,0.002074614672209025,0.0009741659524508386,0.00248796396,0.0015738898812351532,0.0011211507838479811,0,0.003571480959999999
58,./main < seq_tmp.txt,0.0016951629178089875,0.0008138864071504317,0.0018406703799999993,0.0013435182584269655,0.0011541323033707864,0,0.0029952313799999986
59,./main < seq_tmp.txt,0.0038616199270671376,0.0018362914825456886,0.00400752642,0.002740568833922263,0.0013870687632508848,0.0005643859200000004,0.03896783292
60,./main < seq_tmp.txt,0.005024699965542167,0.0006386067459911518,0.00527068378,0.003729107855421688,0.0015116705542168678,0.004050655780000001,0.006049217780000001
61,./main < seq_tmp.txt,0.004527979603539823,0.0014615559804718294,0.004837290999999999,0.0031195481415929173,0.0015323248849557513,0.000785689999999999,0.006446947
62,./main < seq_tmp.txt,0.0018054589995495493,0.000837760771702775,0.0020702762000000003,0.0014744371171171188,0.0010363069819819813,0,0.003538015700000001
63,./main < seq_tmp.txt,0.0028945814456108557,0.00064772303678281,0.0026016348799999998,0.0020959360180995484,0.001231720633484163,0.0015393623799999992,0.00443314238
64,./main < seq_tmp.txt,0.0017313419696256683,0.0010759178489247513,0.0020751338399999995,0.001302325561497327,0.0010729320855614975,0,0.004737843340000001
65,./main < seq_tmp.txt,0.0018393977549720647,0.0006210178257119399,0.001801514659999998,0.0015048586592178773,0.0010529100558659221,0.0009474806599999979,0.002996270659999998
66,./main < seq_tmp.txt,0.0019561319503536975,0.0006457382672290312,0.002193709959999999,0.0017805598070739553,0.0009584093890675245,0.0005403669599999992,0.003999050959999999
